Product_ID,Date,Price ($),Quantity Demanded
1,2024-01-01,1496,10
1,2024-01-02,1309,17
1,2024-01-03,809,38
1,2024-01-04,968,31
1,2024-01-05,1421,13
1,2024-01-06,1083,27
1,2024-01-07,1416,13
1,2024-01-08,1347,16
1,2024-01-09,1451,12
1,2024-01-10,951,32
1,2024-01-11,1048,28
1,2024-01-12,1492,10
1,2024-01-13,1033,29
1,2024-01-14,938,33
1,2024-01-15,1019,29
1,2024-01-16,1462,11
1,2024-01-17,1114,25
1,2024-01-18,1124,25
1,2024-01-19,946,32
1,2024-01-20,1475,11
1,2024-01-21,1052,28
1,2024-01-22,1233,21
1,2024-01-23,1263,19
1,2024-01-24,997,30
1,2024-01-25,1351,16
1,2024-01-26,1181,23
1,2024-01-27,986,31
1,2024-01-28,1048,28
1,2024-01-29,1207,22
1,2024-01-30,1316,17
1,2024-01-31,1098,26
1,2024-02-01,1422,13
1,2024-02-02,1275,19
1,2024-02-03,837,37
1,2024-02-04,1112,25
1,2024-02-05,1069,27
1,2024-02-06,802,38
1,2024-02-07,1394,14
1,2024-02-08,943,32
1,2024-02-09,835,37
1,2024-02-10,1167,23
1,2024-02-11,1433,12
1,2024-02-12,963,31
1,2024-02-13,1144,24
1,2024-02-14,1462,11
1,2024-02-15,990,30
1,2024-02-16,852,36
1,2024-02-17,880,35
1,2024-02-18,838,37
1,2024-02-19,878,35
1,2024-02-20,1470,11
1,2024-02-21,1105,26
1,2024-02-22,822,37
1,2024-02-23,1354,16
1,2024-02-24,880,35
1,2024-02-25,1225,21
1,2024-02-26,806,38
1,2024-02-27,1471,11
1,2024-02-28,1296,18
1,2024-02-29,1090,26
1,2024-03-01,1381,15
1,2024-03-02,1105,26
1,2024-03-03,1346,16
1,2024-03-04,1207,22
1,2024-03-05,1359,15
1,2024-03-06,1274,19
1,2024-03-07,872,35
1,2024-03-08,1398,14
1,2024-03-09,1375,15
1,2024-03-10,1291,18
1,2024-03-11,966,31
1,2024-03-12,1412,13
1,2024-03-13,1027,29
1,2024-03-14,1420,13
1,2024-03-15,1045,28
1,2024-03-16,1004,30
1,2024-03-17,1120,25
1,2024-03-18,1187,22
1,2024-03-19,944,32
1,2024-03-20,1093,26
1,2024-03-21,1219,21
1,2024-03-22,1391,14
1,2024-03-23,1255,20
1,2024-03-24,1018,29
1,2024-03-25,1239,20
1,2024-03-26,1139,24
1,2024-03-27,866,35
1,2024-03-28,852,36
1,2024-03-29,848,36
1,2024-03-30,924,33
1,2024-03-31,1422,13
1,2024-04-01,1018,29
1,2024-04-02,1080,27
1,2024-04-03,942,32
1,2024-04-04,1224,21
1,2024-04-05,1450,12
1,2024-04-06,1060,28
1,2024-04-07,1288,18
1,2024-04-08,1190,22
1,2024-04-09,972,31
1,2024-04-10,1147,24
1,2024-04-11,1469,11
1,2024-04-12,1465,11
1,2024-04-13,1213,21
1,2024-04-14,1282,19
1,2024-04-15,981,31
1,2024-04-16,1355,16
1,2024-04-17,1310,17
1,2024-04-18,840,36
1,2024-04-19,1043,28
1,2024-04-20,1060,28
1,2024-04-21,1281,19
1,2024-04-22,1037,28
1,2024-04-23,1223,21
1,2024-04-24,807,38
1,2024-04-25,1324,17
1,2024-04-26,1039,28
1,2024-04-27,818,37
1,2024-04-28,1202,22
1,2024-04-29,808,38
1,2024-04-30,1430,13
1,2024-05-01,1092,26
1,2024-05-02,889,35
1,2024-05-03,1058,28
1,2024-05-04,975,31
1,2024-05-05,1163,23
1,2024-05-06,1313,17
1,2024-05-07,835,37
1,2024-05-08,872,35
1,2024-05-09,922,33
1,2024-05-10,1158,24
1,2024-05-11,1338,16
1,2024-05-12,1196,22
1,2024-05-13,1467,11
1,2024-05-14,1328,17
1,2024-05-15,1139,24
1,2024-05-16,1043,28
1,2024-05-17,1435,12
1,2024-05-18,1485,10
1,2024-05-19,1070,27
1,2024-05-20,1078,27
1,2024-05-21,957,32
1,2024-05-22,965,31
1,2024-05-23,1272,19
1,2024-05-24,1136,24
1,2024-05-25,910,34
1,2024-05-26,1324,17
1,2024-05-27,1075,27
1,2024-05-28,1286,18
1,2024-05-29,969,31
1,2024-05-30,1298,18
1,2024-05-31,1457,11
1,2024-06-01,857,36
1,2024-06-02,1349,16
1,2024-06-03,1144,24
1,2024-06-04,1185,22
1,2024-06-05,993,30
1,2024-06-06,1128,25
1,2024-06-07,1484,10
1,2024-06-08,1306,18
1,2024-06-09,1385,14
1,2024-06-10,1157,24
1,2024-06-11,1132,25
1,2024-06-12,1051,28
1,2024-06-13,1393,14
1,2024-06-14,1271,19
1,2024-06-15,1027,29
1,2024-06-16,1155,24
1,2024-06-17,875,35
1,2024-06-18,1090,26
1,2024-06-19,950,32
1,2024-06-20,1451,12
1,2024-06-21,1128,25
1,2024-06-22,1333,16
1,2024-06-23,1215,21
1,2024-06-24,955,32
1,2024-06-25,1157,24
1,2024-06-26,1055,28
1,2024-06-27,1001,30
1,2024-06-28,1296,18
1,2024-06-29,1166,23
1,2024-06-30,1306,18
1,2024-07-01,1304,18
1,2024-07-02,889,35
1,2024-07-03,1132,25
1,2024-07-04,1034,29
1,2024-07-05,1033,29
1,2024-07-06,1003,30
1,2024-07-07,1402,14
1,2024-07-08,1212,21
1,2024-07-09,1271,19
1,2024-07-10,1133,25
1,2024-07-11,1478,11
1,2024-07-12,1315,17
1,2024-07-13,1409,13
1,2024-07-14,1343,16
1,2024-07-15,941,32
