Product_ID,Date,Market_Price,Quantity,Revenue ($),Visibility,Reviews(1-5),Number of Reviewers,Base_Price,Stock
1,1/1/2024,1187,22,26114,0.5723528436991803,5,245,644.3563245242398,454
1,1/2/2024,851,36,30636,0.596481945881393,5,321,461.96059997483405,210
1,1/3/2024,932,33,30756,0.5823424801399049,4,481,505.93099785728003,357
1,1/4/2024,844,36,30384,0.6415053701332103,3,289,458.1606890467214,294
1,1/5/2024,996,30,29880,0.9130379016711923,2,73,540.6730406285955,326
1,1/6/2024,1172,23,26956,0.7657097578871839,2,68,636.2136582497127,110
1,1/7/2024,1439,12,17268,0.6352286058779152,5,317,781.1531179362939,84
1,1/8/2024,1042,28,29176,0.7849887519513099,1,43,565.6438838704784,69
1,1/9/2024,1004,30,30120,0.601569041969626,2,115,545.0157959750098,432
1,1/10/2024,1178,23,27094,0.9265803075595396,1,295,639.4707247595235,316
1,1/11/2024,999,30,29970,0.6380308659441024,3,399,542.3015738835009,141
1,1/12/2024,1198,22,26356,0.9838048262590079,3,142,650.3276131255595,201
1,1/13/2024,934,33,30822,0.6858108094844236,1,397,507.0166866938837,462
1,1/14/2024,1343,16,21488,0.8757912826167737,3,279,729.0400537793209,236
1,1/15/2024,1045,28,29260,0.9107327172589947,5,130,567.2724171253838,70
1,1/16/2024,1343,16,21488,0.7580513120749034,2,11,729.0400537793209,488
1,1/17/2024,809,38,30742,0.6766791157469892,1,448,439.16113440615834,54
1,1/18/2024,1437,12,17244,0.8853175502846033,3,153,780.0674290996903,110
1,1/19/2024,1023,29,29667,0.8890935019405486,4,175,555.3298399227441,324
1,1/20/2024,1228,21,25788,0.5247363115449842,2,18,666.6129456746137,182
1,1/21/2024,1355,16,21680,0.6214404405819952,4,60,735.5541867989426,414
1,1/22/2024,1231,21,25851,0.93496505730687,3,66,668.2414789295191,70
1,1/23/2024,1476,11,16236,0.6093019544362128,3,216,801.2383614134607,395
1,1/24/2024,894,34,30396,0.6460506778474595,5,432,485.30290996181157,358
1,1/25/2024,1156,24,27744,0.6230304404766333,2,107,627.5281475568838,272
1,1/26/2024,939,32,30048,0.7677897974496303,2,396,509.73090878539267,349
1,1/27/2024,824,37,30488,0.5104148828940851,3,165,447.30380068068536,321
1,1/28/2024,1105,26,28730,0.5846434067767092,1,239,599.8430822234919,316
1,1/29/2024,1415,13,18395,0.9709879717373359,2,467,768.1248518970507,343
1,1/30/2024,972,31,30132,0.6310678378031445,3,99,527.6447745893522,310
1,1/31/2024,1110,26,28860,0.7535115725305146,2,324,602.5573043150009,317
1,2/1/2024,894,34,30396,0.9242408431567564,3,15,485.30290996181157,477
1,2/2/2024,808,38,30704,0.5945311487307656,2,46,438.61828998785654,57
1,2/3/2024,1429,13,18577,0.6402508954159218,5,192,775.724673753276,492
1,2/4/2024,1115,25,27875,0.8944258483229246,1,306,605.2715264065099,120
1,2/5/2024,1114,25,27850,0.562455841870533,3,17,604.7286819882081,188
1,2/6/2024,1419,13,18447,0.5882491347949487,4,189,770.296229570258,378
1,2/7/2024,1432,12,17184,0.6939304935853358,1,393,777.3532070081814,129
1,2/8/2024,828,37,30636,0.6981453091174235,1,475,449.4751783538926,158
1,2/9/2024,1395,14,19530,0.9250040682922387,4,105,757.2679635310146,416
1,2/10/2024,848,36,30528,0.5793564391824821,3,268,460.33206671992866,172
1,2/11/2024,833,37,30821,0.697906105926327,1,204,452.1894004454016,190
1,2/12/2024,851,36,30636,0.9065656445511383,2,70,461.96059997483405,364
1,2/13/2024,993,30,29790,0.6864398308735224,2,315,539.0445073736901,366
1,2/14/2024,1277,19,24263,0.8293808127384827,1,479,693.212322171402,409
1,2/15/2024,936,33,30888,0.5527947412456474,5,31,508.1023755304873,139
1,2/16/2024,863,36,31068,0.6301286839129489,5,435,468.4747329944557,390
1,2/17/2024,1343,16,21488,0.9262051753637572,5,273,729.0400537793209,466
1,2/18/2024,1012,30,30360,0.9579178613624995,2,92,549.3585513214242,285
1,2/19/2024,1329,17,22593,0.910353945060951,1,45,721.4402319230957,269
1,2/20/2024,1393,14,19502,0.8092690489311906,2,207,756.182274694411,139
1,2/21/2024,1329,17,22593,0.6008420238963423,3,299,721.4402319230957,233
1,2/22/2024,1077,27,29079,0.5296939754722487,1,356,584.6434385110414,443
1,2/23/2024,1028,29,29812,0.5574731026895168,3,312,558.0440620142531,228
1,2/24/2024,1211,21,25431,0.8076703130056158,3,79,657.384590563483,496
1,2/25/2024,1144,24,27456,0.8313559512640772,2,260,621.0140145372623,371
1,2/26/2024,806,38,30628,0.7633016483958388,5,185,437.53260115125295,219
1,2/27/2024,1174,23,27002,0.6157423608447232,4,170,637.2993470863163,443
1,2/28/2024,826,37,30562,0.6994792348952352,5,249,448.38948951728895,145
1,2/29/2024,1099,26,28574,0.658732603487332,5,483,596.5860157136811,388
1,3/1/2024,1459,11,16049,0.5613039060848137,3,295,792.01000630233,171
1,3/2/2024,1339,16,21424,0.9680986823236953,2,200,726.8686761061138,378
1,3/3/2024,1453,12,17436,0.995499991061171,3,255,788.7529397925192,336
1,3/4/2024,1154,24,27696,0.7815834381630826,1,475,626.4424587202802,449
1,3/5/2024,1279,19,24301,0.9478168601181485,3,268,694.2980110080056,261
1,3/6/2024,1009,30,30270,0.8658501823858304,1,49,547.7300180665188,341
1,3/7/2024,1179,23,27117,0.5025302509057672,1,43,640.0135691778253,352
1,3/8/2024,1460,11,16060,0.6089337335865048,5,285,792.5528507206318,403
1,3/9/2024,860,36,30960,0.7857719183503155,2,441,466.8461997395503,359
1,3/10/2024,1127,25,28175,0.8780792730638467,5,25,611.7856594261316,125
1,3/11/2024,1195,22,26290,0.5465719860880986,3,21,648.6990798706541,337
1,3/12/2024,1210,21,25410,0.7686510228326229,5,461,656.8417461451812,438
1,3/13/2024,1014,29,29406,0.654248280191085,3,77,550.4442401580279,67
1,3/14/2024,1044,28,29232,0.5885618249952017,5,172,566.729572707082,490
1,3/15/2024,850,36,30600,0.6766249926317359,5,36,461.41775555653226,445
1,3/16/2024,1429,13,18577,0.8255800662078099,4,241,775.724673753276,255
1,3/17/2024,1187,22,26114,0.8253018069764604,1,462,644.3563245242398,328
1,3/18/2024,1112,25,27800,0.5517110094564772,5,381,603.6429931516045,450
1,3/19/2024,987,31,30597,0.5813221162933231,4,449,535.7874408638792,395
1,3/20/2024,1316,17,22372,0.922209150237969,1,230,714.3832544851723,153
