Order Date,Product_Id,List_Price,Quantity,Visibility,Cart Count,Cumulative Sales,7-Day Moving Avg,Sales Last 7 Days,Trend,Sort Rank,Interaction Score,Stars,Reviews Count
1/1/2023,P001,152,19,2888,3.8,19,19,,,80,345.8057202,4.197316968,624
1/2/2023,P001,152,18,2736,3.6,37,18.5,19,15.28571429,80,104.9924747,4.732352292,109
1/3/2023,P001,152,7,1064,1.4,44,14.66666667,37,1.714285714,80,84.31038685,3.112823158,353
1/4/2023,P001,152,11,1672,2.2,55,13.75,44,4.714285714,80,9.508421672,3.363649934,286
1/5/2023,P001,152,0,0,0,55,11,55,-7.857142857,80,48.77331738,3.01413261,866
1/6/2023,P001,152,16,2432,3.2,71,11.83333333,55,8.142857143,80,130.1621429,3.093331326,709
1/7/2023,P001,152,15,2280,3,86,12.28571429,71,4.857142857,80,119.7272924,4.570351923,572
1/8/2023,P001,152,11,1672,2.2,97,11.14285714,86,-1.285714286,80,195.6440162,3.933525786,494
1/9/2023,P001,152,18,2736,3.6,115,11.14285714,78,6.857142857,80,271.6498013,3.130103186,397
1/10/2023,P001,152,13,1976,2.6,128,12,78,1.857142857,80,38.10230453,3.031932504,907
1/11/2023,P001,152,19,2888,3.8,147,13.14285714,84,7,80,117.8461118,3.24407647,518
1/12/2023,P001,152,7,1064,1.4,154,14.14285714,92,-6.142857143,80,88.72921859,3.782121215,571
1/13/2023,P001,152,7,1064,1.4,161,12.85714286,99,-7.142857143,80,24.12867385,3.415883326,781
1/14/2023,P001,152,17,2584,3.4,178,13.14285714,90,4.142857143,80,139.418064,3.790300472,279
1/15/2023,P001,152,15,2280,3,193,13.71428571,92,1.857142857,80,179.8807199,3.391965725,711
1/16/2023,P001,152,7,1064,1.4,200,12.14285714,96,-6.714285714,80,359.0071024,4.079384265,801
1/17/2023,P001,152,12,1824,2.4,212,12,85,-0.142857143,80,23.4554535,3.330533878,866
1/18/2023,P001,152,6,912,1.2,218,10.14285714,84,-6,80,2.693605923,3.397431363,481
1/19/2023,P001,152,10,1520,2,228,10.57142857,71,-0.142857143,80,14.36295693,4.458014336,298
1/20/2023,P001,152,4,608,0.8,232,10.14285714,74,-6.571428571,80,192.9133441,4.829919351,210
1/21/2023,P001,152,7,1064,1.4,239,8.714285714,71,-3.142857143,80,92.32748899,3.127116701,416
1/22/2023,P001,152,4,608,0.8,243,7.142857143,61,-4.714285714,80,336.9845253,4.774425485,970
1/23/2023,P001,152,2,304,0.4,245,6.428571429,50,-5.142857143,80,115.3134047,4.697827649,14
1/24/2023,P001,152,13,1976,2.6,258,6.571428571,45,6.571428571,80,26.77664147,4.421325779,867
1/25/2023,P001,152,9,1368,1.8,267,7,46,2.428571429,80,140.6246464,3.062858371,752
1/26/2023,P001,152,16,2432,3.2,283,7.857142857,49,9,80,216.7126967,4.391032173,494
1/27/2023,P001,152,6,912,1.2,289,8.142857143,55,-1.857142857,80,113.5858628,3.406122449,534
1/28/2023,P001,152,6,912,1.2,295,8,57,-2.142857143,80,185.6744998,4.760935678,691
1/29/2023,P001,152,12,1824,2.4,307,9.142857143,56,4,80,13.09520846,3.913069141,629
1/30/2023,P001,152,11,1672,2.2,318,10.42857143,64,1.857142857,80,165.2944671,4.078684484,515
1/31/2023,P001,152,6,912,1.2,324,9.428571429,73,-4.428571429,80,4.627313766,3.455870325,967
2/1/2023,P001,152,19,2888,3.8,343,10.85714286,66,9.571428571,80,7.230826276,3.013904261,465
2/2/2023,P001,152,8,1216,1.6,351,9.714285714,76,-2.857142857,80,285.1140289,3.239730735,693
2/3/2023,P001,152,14,2128,2.8,365,10.85714286,68,4.285714286,80,53.5412534,4.037581243,242
2/4/2023,P001,152,19,2888,3.8,384,12.71428571,76,8.142857143,80,142.3620678,4.92489459,519
2/5/2023,P001,152,6,912,1.2,390,11.85714286,89,-6.714285714,80,167.3836653,3.073773895,122
2/6/2023,P001,152,1,152,0.2,391,10.42857143,83,-10.85714286,80,162.578669,3.066101466,745
2/7/2023,P001,152,0,0,0,391,9.571428571,73,-10.42857143,80,7.074810758,4.061869167,739
2/8/2023,P001,152,5,760,1,396,7.571428571,67,-4.571428571,80,133.8390339,3.161706653,193
2/9/2023,P001,152,16,2432,3.2,412,8.714285714,53,8.428571429,80,93.90876947,3.940601269,619
2/10/2023,P001,152,5,760,1,417,7.428571429,61,-3.714285714,80,41.52476432,4.670604991,133
2/11/2023,P001,152,5,760,1,422,5.428571429,52,-2.428571429,80,11.34975368,4.181785886,964
2/12/2023,P001,152,3,456,0.6,425,5,38,-2.428571429,80,71.44553815,4.619002092,157
2/13/2023,P001,152,6,912,1.2,431,5.714285714,35,1,80,56.01636863,3.795144042,560
2/14/2023,P001,152,17,2584,3.4,448,8.142857143,40,11.28571429,80,47.85924466,3.682132702,482
2/15/2023,P001,152,17,2584,3.4,465,9.857142857,57,8.857142857,80,441.6848005,4.391568799,272
2/16/2023,P001,152,15,2280,3,480,9.714285714,69,5.142857143,80,256.133328,3.52165835,906
2/17/2023,P001,152,15,2280,3,495,11.14285714,68,5.285714286,80,335.455741,4.800836114,18
2/18/2023,P001,152,8,1216,1.6,503,11.57142857,78,-3.142857143,80,115.0482383,4.693322284,413
2/19/2023,P001,152,0,0,0,503,11.14285714,81,-11.57142857,80,267.6094938,4.871269988,429
2/20/2023,P001,152,5,760,1,508,11,78,-6.142857143,80,363.9193489,3.744565533,482
2/21/2023,P001,152,2,304,0.4,510,8.857142857,77,-9,80,88.10379625,3.321616103,347
2/22/2023,P001,152,1,152,0.2,511,6.571428571,62,-7.857142857,80,301.4064633,4.988914925,170
2/23/2023,P001,152,3,456,0.6,514,4.857142857,46,-3.571428571,80,40.92892335,3.357645418,513
2/24/2023,P001,152,7,1064,1.4,521,3.714285714,34,2.142857143,80,74.74719191,3.616121584,697
2/25/2023,P001,152,11,1672,2.2,532,4.142857143,26,7.285714286,80,261.0320424,3.530404735,759
2/26/2023,P001,152,5,760,1,537,4.857142857,29,0.857142857,80,250.6941431,4.78409311,292
2/27/2023,P001,152,1,152,0.2,538,4.285714286,34,-3.857142857,80,232.8304222,4.153807769,969
2/28/2023,P001,152,0,0,0,538,4,30,-4.285714286,80,108.639289,3.99838676,525
3/1/2023,P001,152,2,304,0.4,540,4.142857143,28,-2,80,69.26167297,4.989101022,167
3/2/2023,P001,152,13,1976,2.6,553,5.571428571,29,8.857142857,80,461.2862985,4.495437548,46
3/3/2023,P001,152,16,2432,3.2,569,6.857142857,39,10.42857143,80,305.0506874,4.927239954,125
3/4/2023,P001,152,0,0,0,569,5.285714286,48,-6.857142857,80,40.81838437,4.113602525,744
3/5/2023,P001,152,2,304,0.4,571,4.857142857,37,-3.285714286,80,78.72587233,3.417837435,952
3/6/2023,P001,152,1,152,0.2,572,4.857142857,34,-3.857142857,80,4.033309193,3.645101528,113
3/7/2023,P001,152,0,0,0,572,4.857142857,34,-4.857142857,80,74.23129564,4.105639954,691
3/8/2023,P001,152,2,304,0.4,574,4.857142857,34,-2.857142857,80,48.59586659,4.826481105,515
3/9/2023,P001,152,6,912,1.2,580,3.857142857,34,1.142857143,80,135.272933,3.388547907,785
3/10/2023,P001,152,13,1976,2.6,593,3.428571429,27,9.142857143,80,317.9209715,4.773234298,152
3/11/2023,P001,152,1,152,0.2,594,3.571428571,24,-2.428571429,80,119.7057151,4.344052271,60
3/12/2023,P001,152,16,2432,3.2,610,5.571428571,25,12.42857143,80,80.45749285,3.606531029,453
