Order Date,Product_Id,Quantity,Visibility,Cart Count,Cumulative Sales,7-Day Moving Avg,Sales Last 7 Days,Trend,Sort Rank,Interaction Score,Stars,Reviews Count,Base_Price,Market_Price,avg_PED,Elasticity_Type
2023-01-01,P001,19,2888,3.8,19,19.0,65.85386935,0.141701364,80.0,345.8057202,4.197316968,624,912,1776.8,16.369769809927185,
2023-01-02,P001,18,2736,3.6,37,18.5,19.0,15.28571429,80.0,104.9924747,4.732352292,109,912,1776.8,16.369769809927185,
2023-01-03,P001,7,1064,1.4,44,14.66666667,37.0,1.714285714,80.0,84.31038685,3.112823158,353,912,1594.4,16.369769809927185,Elastic
2023-01-04,P001,11,1672,2.2,55,13.75,44.0,4.714285714,80.0,9.508421672,3.363649934,286,912,1685.6,16.369769809927185,Elastic
2023-01-05,P001,0,0,0.0,55,11.0,55.0,-7.857142857,80.0,48.77331738,3.01413261,866,912,1503.2,16.369769809927185,Elastic
2023-01-06,P001,16,2432,3.2,71,11.83333333,55.0,8.142857143,80.0,130.1621429,3.093331326,709,912,1776.8,16.369769809927185,
2023-01-07,P001,15,2280,3.0,86,12.28571429,71.0,4.857142857,80.0,119.7272924,4.570351923,572,912,1685.6,16.369769809927185,Elastic
2023-01-08,P001,11,1672,2.2,97,11.14285714,86.0,-1.285714286,80.0,195.6440162,3.933525786,494,912,1685.6,16.369769809927185,
2023-01-09,P001,18,2736,3.6,115,11.14285714,78.0,6.857142857,80.0,271.6498013,3.130103186,397,912,1776.8,16.369769809927185,Elastic
2023-01-10,P001,13,1976,2.6,128,12.0,78.0,1.857142857,80.0,38.10230453,3.031932504,907,912,1685.6,16.369769809927185,Elastic
2023-01-11,P001,19,2888,3.8,147,13.14285714,84.0,7.0,80.0,117.8461118,3.24407647,518,912,1776.8,16.369769809927185,Elastic
2023-01-12,P001,7,1064,1.4,154,14.14285714,92.0,-6.142857143,80.0,88.72921859,3.782121215,571,912,1594.4,16.369769809927185,Elastic
2023-01-13,P001,7,1064,1.4,161,12.85714286,99.0,-7.142857143,80.0,24.12867385,3.415883326,781,912,1594.4,16.369769809927185,
2023-01-14,P001,17,2584,3.4,178,13.14285714,90.0,4.142857143,80.0,139.418064,3.790300472,279,912,1776.8,16.369769809927185,Elastic
2023-01-15,P001,15,2280,3.0,193,13.71428571,92.0,1.857142857,80.0,179.8807199,3.391965725,711,912,1685.6,16.369769809927185,Elastic
2023-01-16,P001,7,1064,1.4,200,12.14285714,96.0,-6.714285714,80.0,359.0071024,4.079384265,801,912,1594.4,16.369769809927185,Elastic
2023-01-17,P001,12,1824,2.4,212,12.0,85.0,-0.142857143,80.0,23.4554535,3.330533878,866,912,1685.6,16.369769809927185,Elastic
2023-01-18,P001,6,912,1.2,218,10.14285714,84.0,-6.0,80.0,2.693605923,3.397431363,481,912,1594.4,16.369769809927185,Elastic
2023-01-19,P001,10,1520,2.0,228,10.57142857,71.0,-0.142857143,80.0,14.36295693,4.458014336,298,912,1594.4,16.369769809927185,
2023-01-20,P001,4,608,0.8,232,10.14285714,74.0,-6.571428571,80.0,192.9133441,4.829919351,210,912,1503.2,16.369769809927185,Elastic
2023-01-21,P001,7,1064,1.4,239,8.714285714,71.0,-3.142857143,80.0,92.32748899,3.127116701,416,912,1594.4,16.369769809927185,Elastic
2023-01-22,P001,4,608,0.8,243,7.142857143,61.0,-4.714285714,80.0,336.9845253,4.774425485,970,912,1503.2,16.369769809927185,Elastic
2023-01-23,P001,2,304,0.4,245,6.428571429,50.0,-5.142857143,80.0,115.3134047,4.697827649,14,912,1503.2,16.369769809927185,
2023-01-24,P001,13,1976,2.6,258,6.571428571,45.0,6.571428571,80.0,26.77664147,4.421325779,867,912,1685.6,16.369769809927185,Elastic
2023-01-25,P001,9,1368,1.8,267,7.0,46.0,2.428571429,80.0,140.6246464,3.062858371,752,912,1594.4,16.369769809927185,Elastic
2023-01-26,P001,16,2432,3.2,283,7.857142857,49.0,9.0,80.0,216.7126967,4.391032173,494,912,1776.8,16.369769809927185,Elastic
2023-01-27,P001,6,912,1.2,289,8.142857143,55.0,-1.857142857,80.0,113.5858628,3.406122449,534,912,1594.4,16.369769809927185,Elastic
2023-01-28,P001,6,912,1.2,295,8.0,57.0,-2.142857143,80.0,185.6744998,4.760935678,691,912,1594.4,16.369769809927185,
2023-01-29,P001,12,1824,2.4,307,9.142857143,56.0,4.0,80.0,13.09520846,3.913069141,629,912,1685.6,16.369769809927185,Elastic
2023-01-30,P001,11,1672,2.2,318,10.42857143,64.0,1.857142857,80.0,165.2944671,4.078684484,515,912,1685.6,16.369769809927185,
2023-01-31,P001,6,912,1.2,324,9.428571429,73.0,-4.428571429,80.0,4.627313766,3.455870325,967,912,1594.4,16.369769809927185,Elastic
2023-02-01,P001,19,2888,3.8,343,10.85714286,66.0,9.571428571,80.0,7.230826276,3.013904261,465,912,1776.8,16.369769809927185,Elastic
2023-02-02,P001,8,1216,1.6,351,9.714285714,76.0,-2.857142857,80.0,285.1140289,3.239730735,693,912,1594.4,16.369769809927185,Elastic
2023-02-03,P001,14,2128,2.8,365,10.85714286,68.0,4.285714286,80.0,53.5412534,4.037581243,242,912,1685.6,16.369769809927185,Elastic
2023-02-04,P001,19,2888,3.8,384,12.71428571,76.0,8.142857143,80.0,142.3620678,4.92489459,519,912,1776.8,16.369769809927185,Elastic
2023-02-05,P001,6,912,1.2,390,11.85714286,89.0,-6.714285714,80.0,167.3836653,3.073773895,122,912,1594.4,16.369769809927185,Elastic
2023-02-06,P001,1,152,0.2,391,10.42857143,83.0,-10.85714286,80.0,162.578669,3.066101466,745,912,1503.2,16.369769809927185,Elastic
2023-02-07,P001,0,0,0.0,391,9.571428571,73.0,-10.42857143,80.0,7.074810758,4.061869167,739,912,1503.2,16.369769809927185,
2023-02-08,P001,5,760,1.0,396,7.571428571,67.0,-4.571428571,80.0,133.8390339,3.161706653,193,912,1503.2,16.369769809927185,
2023-02-09,P001,16,2432,3.2,412,8.714285714,53.0,8.428571429,80.0,93.90876947,3.940601269,619,912,1776.8,16.369769809927185,Elastic
2023-02-10,P001,5,760,1.0,417,7.428571429,61.0,-3.714285714,80.0,41.52476432,4.670604991,133,912,1503.2,16.369769809927185,Elastic
2023-02-11,P001,5,760,1.0,422,5.428571429,52.0,-2.428571429,80.0,11.34975368,4.181785886,964,912,1503.2,16.369769809927185,
2023-02-12,P001,3,456,0.6,425,5.0,38.0,-2.428571429,80.0,71.44553815,4.619002092,157,912,1503.2,16.369769809927185,
2023-02-13,P001,6,912,1.2,431,5.714285714,35.0,1.0,80.0,56.01636863,3.795144042,560,912,1594.4,16.369769809927185,Elastic
